# 20230428T1139
sample_num	sample	read_type	source	cell	project_phase	data_production	HHU_complete	sin
11	HG01573	ONT	UW	20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20221004_HG01573_UL_eee-prom1-1A-PAM23460_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20221011_HG01573_UL_eee-prom1-1C-PAM78043_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20221012_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20221013_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20221018_HG01573_UL_eee-prom1-1B-PAM78356_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20221025_HG01573_UL_eee-prom1-1A-PAM79285_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20230207_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
11	HG01573	ONT	UW	20230209_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01573
12	HG00171	HiFi	UW	m54329U_220205_003428	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	HiFi	UW	m54329U_220212_223600	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	HiFi	UW	m54329U_220214_093304	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221011_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221011_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221013_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221013_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221018_HG00171_UL_eee-prom1-1A-PAM70063_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221101_HG00171_UL_eee-prom1-1A-PAM78908_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221213_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
12	HG00171	ONT	UW	20221214_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:00171
13	HG02587	HiFi	UW	m54329U_220331_234450	Yr1,Yr3	complete	no	SIN:02587
13	HG02587	HiFi	UW	m64076_220219_025128-bc1001	Yr1,Yr3	complete	no	SIN:02587
13	HG02587	HiFi	UW	m64076_220219_025128-bc1002	Yr1,Yr3	complete	no	SIN:02587
13	HG02587	HiFi	UW	m64076_220220_134423	Yr1,Yr3	complete	no	SIN:02587
13	HG02587	HiFi	UW	m64076_220327_030804	Yr1,Yr3	complete	no	SIN:02587
13	HG02587	HiFi	UW	m64076_220331_235118	Yr1,Yr3	complete	no	SIN:02587
13	HG02587	ONT	UW	20220920_HG02587_UL_eee-prom1-1D-PAM64430_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221004_HG02587_UL_eee-prom1-1B-PAM23321_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221004_HG02587_UL_eee-prom1-1C-PAM23141_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221011_HG02587_UL_eee-prom1-1D-PAM78114_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221011_HG02587_UL_eee-prom1-1E-PAM79160_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221012_HG02587_UL_eee-prom1-1H-PAM78285_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221013_HG02587_UL_eee-prom1-1D-PAM78114_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221013_HG02587_UL_eee-prom1-1E-PAM79160_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221013_HG02587_UL_eee-prom1-1H-PAM78285_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221018_HG02587_UL_eee-prom1-1C-PAM78364_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20221025_HG02587_UL_eee-prom1-1B-PAM76612_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
13	HG02587	ONT	UW	20230207_HG02587_UL_eee-prom1-3B-PAG84362_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02587
14	HG01114	HiFi	UW	m64076_220222_003816	Yr1,Yr3	complete	no	SIN:01114
14	HG01114	HiFi	UW	m64076_220227_232002	Yr1,Yr3	complete	no	SIN:01114
14	HG01114	HiFi	UW	m64076_220301_101421	Yr1,Yr3	complete	no	SIN:01114
14	HG01114	ONT	UW	20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
14	HG01114	ONT	UW	20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:01114
15	HG02018	HiFi	UW	m54329U_220125_004416	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	HiFi	UW	m54329U_220128_015221	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	HiFi	UW	m54329U_220129_124757	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20221025_HG02018_UL_eee-prom1-1D-PAM78083_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20221101_HG02018_UL_eee-prom1-1G-PAM79302_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20221102_HG02018_UL_eee-prom1-3H-PAM78744_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20221108_HG02018_UL_eee-prom1-3B-PAM64235_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
15	HG02018	ONT	UW	20221130_HG02018_UL_eee-prom1-2C-PAM77931_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:02018
